Market Data - All Shares
As of  22/10/2020 

Name,Symbol ,ISIN,Index,Closing Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
ANGEL SALOMON,ANGL,IL0001800189,"TA-Growth, TA-AllShare, TA-Industrials",5091.00,-1.28,9.62,EoD
APIO AFRICA-M,APIO.M,IL0003830184,,4672.00,11.66,40.51,EoD
APOLLO POWER,APLP,IL0010821143,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Energy Utilities",701.00,-0.20,654.69,EoD
ARAD,ARD,IL0010916513,"TA-90, TA-125, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",4702.00,-1.78,439.25,EoD
ARAD INVESTMENT,ARAD,IL0007310183,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",25520.00,0.24,1388.02,EoD
ARAN,ARAN,IL0010852650,"TA-Growth, TA-AllShare",1469.00,0.00,0.74,EoD
ARENA GROUP,ARNA,IL0003660136,,3.30,0.00,0.00,EoD
ARKO HOLDINGS,ARKO,IL0003100117,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities",241.10,0.25,5432.48,EoD
ARYT,ARYT,IL0005870147,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-Industrials",132.10,0.00,2.61,EoD
ASHOT,ASHO,IL0003120172,"TA-Growth, TA-AllShare, TA-Industrials",1131.00,-0.09,7.61,EoD
ASHTROM GROUP,ASHG,IL0011323156,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-Construction",4000.00,-0.67,1761.27,EoD
ASHTROM PROP,ASPR,IL0002510175,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Investment Properties in Israel",1571.00,-0.25,791.72,EoD
ASPEN GROUP,ASGR,IL0003130155,"TA-SME60, TA-RealEstate, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",522.00,-0.91,43.18,EoD
ATREYU CAP,ATRY,IL0010961063,"TA-90, TA-125, TA-Finance Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",5198.00,-0.74,468.35,EoD
AUDIOCODES,AUDC,IL0010829658,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",11150.00,-3.04,6328.28,EoD
AUGWIND,AUGN,IL0011059073,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities",11010.00,-7.01,4458.80,EoD
AURA,AURA,IL0003730194,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Construction",148.40,0.95,196.69,EoD
AUTO BANK SERV,SHVA,IL0011581613,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus, TA-Rimon",1150.00,0.61,793.81,EoD
AVERBUCH,AVER,IL0006750173,"TA-Growth, TA-AllShare",2281.00,-4.12,103.55,EoD
AVGOL,AVGL,IL0011009573,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",397.70,-0.50,240.37,EoD
AVIATION LINKS,AVIA,IL0004130139,,624.20,0.00,0.00,EoD
AVIV,AVIV,IL0004440181,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",1504.00,0.00,0.81,EoD
AVIV ARLON,AVLN,IL0001060131,,196.40,-3.82,21.45,EoD
AVROT,AVRT,IL0002970106,,37.00,0.00,0.00,EoD
AYALON  HOLD.,AYAL,IL0002090152,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",1687.00,-1.86,36.05,EoD
AZORIM,AZRM,IL0007150118,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Construction",618.10,0.60,467.40,EoD
AZRIELI GROUP,AZRG,IL0011194789,"TA-35, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Family, TA-Investment Properties in Israel",16590.00,-2.12,9046.89,EoD
B COMMUNICATION,BCOM,IL0011076630,"TA-Growth, TA-AllShare, TA-Communication & InformationTechnology",861.80,-2.31,1422.53,EoD
B.YAIR,BYAR,IL0010972292,,1602.00,4.91,66.37,EoD
BABYLON,BBYL,IL0011016669,"TA-Growth, TA-AllShare",390.40,0.59,471.42,EoD
BARAN,BRAN,IL0002860133,"TA-Growth, TA-AllShare",829.10,2.28,697.51,EoD
BATM,BVC,IL0010849045,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",494.00,-0.72,800.98,EoD
BAYSIDE LAND,BYSD,IL0007590198,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel",210000.00,4.02,39222.38,EoD
BAZAN,ORL,IL0025902482,"TA-90, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities",61.70,-0.64,2235.52,EoD
BET SHEMESH,BSEN,IL0010815616,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",5735.00,-1.39,388.41,EoD
BEZEQ,BEZQ,IL0002300114,"TA-35, TA-125, Tel-Div Index, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA Sector-Balance",399.00,-2.35,28819.88,EoD
BGI-M,BGI-M,IL0010927098,,113.30,-1.48,16.64,EoD
BIG,BIG,IL0010972607,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel",26730.00,-0.26,1374.10,EoD
BIO VIEW,BIOV,IL0010960495,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",287.60,-5.02,79.07,EoD
BIOLIGHT,BOLT,IL0010952237,,630.50,-3.58,86.07,EoD
BIOLINE RX,BLRX,IL0011015182,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",36.50,-0.82,48.58,EoD
BIOMX,PHGE,US09090D1037,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",2118.00,2.57,28.12,EoD
BIRMAN,BIRM,IL0005300145,"TA-Growth, TA-AllShare, TA-Industrials",1060.00,0.00,0.74,EoD
BLUE SQ REAL ES,BLSR,IL0010985658,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel",14210.00,-0.98,528.97,EoD
BONEI TICHON,BOTI,IL0005310128,,746.90,0.00,0.00,EoD
BONUS BIOGROUP,BONS,IL0004850116,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",40.90,0.25,579.71,EoD
BRACK CAPIT N V,BCNV,NL0009690619,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",26590.00,1.03,971.18,EoD
BRAINSWAY,BWAY,IL0011007189,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",1044.00,-1.51,146.79,EoD
BRAM INDUS,BRAM,IL0010945157,"TA-Growth, TA-AllShare, TA-Industrials",386.00,0.00,0.01,EoD
BRAND,BRND,IL0005360115,,299.80,3.02,3.06,EoD
BRENMILLER,BNRG,IL0011415309,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Energy Utilities",1678.00,2.76,467.62,EoD
BRILL,BRIL,IL0003990145,,492.50,0.00,0.00,EoD
BRIMAG,BRMG,IL0010942832,"TA-Growth, TA-AllShare",1481.00,-0.54,15.75,EoD
C I SYSTEMS,CISY,IL0004420126,,578.50,0.00,0.00,EoD
CAMTEK,CAMT,IL0010952641,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",6188.00,-2.54,1611.66,EoD
CAN FITE BIO,CANF,IL0010944739,,20.70,-0.96,750.23,EoD
CANNASSURE,CSURE,IL0001110134,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Industrials",117.20,-0.59,11.09,EoD
CANNOMED,CNMD,IL0011181166,,37.40,1.36,147.21,EoD
CANZON,CNZN,IL0010960073,,624.30,1.43,32.38,EoD
CAPITAL POINT,CPTP,IL0010971468,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",39.00,1.30,9.85,EoD
CARASSO,CRSO,IL0011238503,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family",1050.00,-0.19,285.82,EoD
CARMIT,CRMT,IL0004400169,,1401.00,3.47,23.19,EoD
CASTRO,CAST,IL0002800162,"TA-Growth, TA-AllShare, TA-Industrials",2906.00,1.68,3.92,EoD
CELLCOM,CEL,IL0011015349,"TA-90, TA-125, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA-SME150, TA Sector-Balance",1392.00,-1.28,725.33,EoD
CHAM,CHAM,IL0003420143,,167.00,0.48,6.68,EoD
CHIRON,CHR,IL0004560129,,1074.00,0.00,0.00,EoD
CIM COM0.001$,CMCT,US1255255846,TA-Investment Properties Abroad,3243.00,0.00,0.00,EoD
CIM COMME.P L,CMCTP,US1255258576,,8097.00,0.00,0.00,EoD
CITRUS PLANT 5,CTPL5,IL0007160356,,60000.00,0.00,0.00,EoD
CITRUS PLANT1,CTPL1,IL0007160190,,19120.00,0.00,0.00,EoD
CLAL BEVERAGES,CLBV,IL0011476855,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",4284.00,-0.07,108.14,EoD
CLAL BIOTECH,CBI,IL0011042806,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",186.10,-1.59,170.85,EoD
CLAL INSURANCE,CLIS,IL0002240146,"TA-90, TA-125, TA-Finance Index, TA-Maala Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",3370.00,-1.23,1981.93,EoD
COFIX GROUP,CFX,IL0003890154,,328.70,-0.57,57.55,EoD
COHEN DEV,CDEV,IL0008100104,"TA-SME60, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150",6495.00,1.09,32.73,EoD
COMPUGEN,CGEN,IL0010852080,"TA-90, TA-125, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Industrials",4873.00,-0.02,4263.15,EoD
COMPUTER DIRECT,CMDR,IL0005070128,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite",15700.00,-0.13,6.12,EoD
D.N.A BIOMED,DNA,IL0011038523,,83.60,3.47,303.33,EoD
DAN   HOTELS,DANH,IL0008220159,,2679.00,0.00,0.00,EoD
DANEL,DANE,IL0003140139,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",43990.00,-0.36,1591.97,EoD
DECAMA CAPITAL,DCMA,IL0011161770,,50.90,0.00,0.00,EoD
DELEK     ROYAL,DLRL,IL0011294936,"TA-Growth, TA-AllShare, TA Oil & Gas Index, TA-Rimon",561.00,-0.04,22.85,EoD
DELEK AUTOMOTIV,DLEA,IL0008290103,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",1698.00,0.12,393.06,EoD
DELEK DRILL L,DEDR.L,IL0004750209,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150, TA Sector-Balance",334.70,1.92,3292.38,EoD
DELEK GROUP,DLEKG,IL0010841281,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150, TA Sector-Balance",6338.00,-2.36,9993.41,EoD
DELTA,DELT,IL0006270347,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",6007.00,-1.01,878.44,EoD
DIMRI,DIMRI,IL0010903156,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-Construction",10060.00,0.00,512.28,EoD
DIRECT FINANCE,DIFI,IL0011681868,,57400.00,0.00,130.90,EoD
DISCOUNT,DSCT,IL0006912120,"TA-35, TA-125, TA-Finance Index, TA-Maala Index, TA-Banks5, TA-AllShare, TA-Rimon, TA Sector-Balance",984.00,1.86,84578.64,EoD
DISCOUNT INV,DISI,IL0006390137,"TA-Growth, TA-AllShare",829.80,0.95,2038.19,EoD
DOR ALON,DRAL,IL0010932023,"Tel-Div Index, TA-Growth, TA-AllShare, TA-Energy Utilities",7323.00,0.03,1579.25,EoD
DORAL ENERGY,DORL,IL0011667685,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Energy Utilities",1349.00,-1.89,2795.67,EoD
DORSEL,DRSL,IL0010966765,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Investment Properties in Israel",1013.00,0.00,3.08,EoD
DUNIEC,DUNI,IL0004000100,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Construction",8965.00,-0.37,148.08,EoD
E&M,EMCO,IL0003820102,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150",1264.00,-0.63,125.60,EoD
EDRI-EL,EDRL,IL0011051625,,96.70,14.98,2.97,EoD
EL AL,ELAL,IL0010878242,"TA-SME60, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150",66.20,-0.60,1037.87,EoD
ELBIT IMAGING,EMITF,IL0010811169,,365.80,-0.84,36.03,EoD
ELBIT MEDITEC,EMTC,IL0004740150,,100.20,-4.30,82.57,EoD
ELBIT SYSTEMS,ESLT,IL0010811243,"TA-35, TA-125, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials",40740.00,-1.24,25782.38,EoD
ELCO,ELCO,IL0006940345,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA-Family",12550.00,-1.18,1445.65,EoD
ELDAV,ELDAV,IL0010836588,,178.80,0.17,0.10,EoD
ELECTRA,ELTR,IL0007390375,"TA-35, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-Family",151000.00,-0.40,5420.40,EoD
ELECTRA CO  PR,ECP,IL0050101299,"TA-90, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",9030.00,-1.05,6079.83,EoD
ELECTRA REAL E.,ELCRE,IL0010940448,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",1761.00,-1.45,472.37,EoD
ELECTREON,ELWS,IL0003680191,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-Energy Utilities",27000.00,-8.01,19171.11,EoD
ELLOMAY,ELLO,IL0010826357,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Energy Utilities",11490.00,0.79,2046.33,EoD
ELMOR,ELMR,IL0011424541,"TA-Growth, TA-AllShare, TA-Industrials",573.50,0.00,3.06,EoD
ELRON,ELRN,IL0007490779,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",1187.00,-0.50,653.87,EoD
ELSPEC,ELSPC,IL0010903644,"TA-Growth, TA-AllShare, TA-Industrials",388.40,-1.22,21.91,EoD
EMILIA DEVEL,EMDV,IL0005890103,"TA-Growth, TA-AllShare",1690.00,0.00,0.02,EoD
ENDYMED,ENDY,IL0011010217,,336.30,-1.64,122.26,EoD
ENERGEAN,ENOG,GB00BG12Y042,"TA-35, TA-125, TA-Maala Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA Sector-Balance",2452.00,-1.64,2994.42,EoD
ENERGIX,ENRG,IL0011233553,"TA-35, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials, TA-Energy Utilities",1494.00,-1.45,14732.71,EoD
ENLIGHT ENERGY,ENLT,IL0007200111,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-Energy Utilities",648.90,1.68,11650.07,EoD
ENLIVEX,ENLV,IL0011319527,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",4330.00,-6.38,13971.95,EoD
EQUITAL,EQTL,IL0007550176,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",6505.00,0.60,4851.37,EoD
ERECH FINANCE,EFNC,IL0011201618,,3574.00,2.82,2.11,EoD
EVOGENE,EVGN,IL0011050551,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",1102.00,-5.25,1685.27,EoD
EXPORT INV,EXPO,IL0007040152,"TA-Growth, TA-AllShare",1956.00,-0.25,4.23,EoD
FANTASY NETWORK,FNTS,IL0002780109,,362.60,-0.17,907.90,EoD
FATTAL,FTAL,IL0011434292,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",21310.00,-3.00,7339.37,EoD
FIBI BANK,FIBI,IL0005930388,"TA-35, TA-125, TA-Finance Index, TA-Banks5, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance",7945.00,1.66,14233.06,EoD
FIBI HOLDINGS,FIBIH,IL0007630119,"TA-90, TA-125, TA-Finance Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",8700.00,1.91,1455.45,EoD
FIRE AND GAS,FGAS,IL0011653073,,752.70,-1.75,24.78,EoD
FMS,FBRT,IL0003150104,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials, TA-Family",7744.00,-1.11,769.41,EoD
FORESIGHT,FRSX,IL0001990188,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150",73.00,-2.93,799.28,EoD
FORMULA,FORTY,IL0002560162,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",28840.00,-1.27,3712.95,EoD
FOX,FOX,IL0010870223,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-Family",26100.00,0.38,7034.55,EoD
FRESHMARKET,FRSM,IL0011578338,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family",1407.00,0.07,927.28,EoD
FRIDENSON,FRDN,IL0011022196,,6262.00,-0.29,4.95,EoD
G 1 SECU,GOSS,IL0011562803,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",605.10,-1.82,12.86,EoD
G.F.C-L,GFC-L,IL0011226888,,1113.00,0.00,0.00,EoD
G.P GLOBAL,GPGB,IL0011447815,"TA-Growth, TA-AllShare, TA-Energy Utilities",861.10,0.00,0.43,EoD
GADSDEN PROP,GADS,US36257R1041,,139.30,0.00,0.00,EoD
GAN SHMUEL,GSFI,IL0005320101,"TA-Growth, TA-AllShare, TA-Industrials",3019.00,0.10,88.55,EoD
GAON,GAON,IL0011047441,,3670.00,0.00,0.00,EoD
GAON GROUP,GAGR,IL0004540170,"TA-Growth, TA-AllShare, TA-Industrials",403.10,7.98,14.78,EoD
GAZIT GLOBE,GZT,IL0001260111,"TA-90, TA-125, TA-RealEstate, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-Investment Properties Abroad",1495.00,-0.80,1480.60,EoD
GENERATION CAP,GNRS,IL0011569261,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Energy Utilities",82.70,1.35,2137.50,EoD
GIBUI HOLDING,GIBUI,IL0004480195,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",1190.00,-4.65,39.65,EoD
GILAT,GILT,IL0010825102,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",1877.00,1.57,8539.62,EoD
GINEGAR,GNGR,IL0010958929,"TA-Growth, TA-AllShare, TA-Rimon, TA-Industrials",1600.00,0.19,55.09,EoD
GIVOT     L,GIVO.L,IL0005060228,"TA-Growth, TA-AllShare, TA Oil & Gas Index",68.30,-0.87,268.30,EoD
GIX,GIX,IL0007440113,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index",147.00,2.73,158.08,EoD
GLILEO TECH,GLTC,IL0010819832,,47.90,-0.62,79.65,EoD
GLOB EXPLOR,GLEX.L,IL0011198335,,60.40,5.23,47.48,EoD
GLOBAL KNAFAIM,GKL,IL0011413163,"TA-Growth, TA-AllShare",56.60,2.35,81.74,EoD
GLOBRANDS,GLRS,IL0011474876,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",38000.00,0.08,88.10,EoD
GODM-M,GODM-M,IL0004940131,,63.90,0.00,23.07,EoD
GOLAN PLASTIC,GLPL,IL0010919335,"TA-Growth, TA-AllShare, TA-Industrials",695.50,-1.63,48.81,EoD
GOLD,GOLD,IL0001490130,"TA-Growth, TA-AllShare",11680.00,0.00,77.56,EoD
GOLDEN HOUSE,GOHO,IL0002350101,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon, TA-Investment Properties in Israel",997.90,-1.20,5.48,EoD
GOLF,GOLF,IL0010961485,"TA-Growth, TA-AllShare",319.00,0.19,129.13,EoD
HADASIT BIO,HDST,IL0010954050,,974.20,-3.26,1284.32,EoD
HADERA PAPER,HAP,IL0006320183,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",10260.00,-2.66,1417.37,EoD
HAGAG,HGG,IL0008230133,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Construction",1029.00,0.59,158.45,EoD
HALMANALDUB INV,HAIN,IL0010946221,,579.30,0.00,0.00,EoD
HAMAMA,HMAM,IL0011047854,,237.40,0.00,0.00,EoD
HAMASHBIR 365,MSBI,IL0011049595,,33.10,-8.56,68.80,EoD
HAMAT,HAMAT,IL0003840167,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",1094.00,-0.45,58.77,EoD
