Market Data - All Shares
As of  29/11/2020 12:29

Name,Symbol ,ISIN,Index,Last Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
ALMEDA        L,AMDA.L,IL0011689622,,766.70,,20.71,11:47
ALMOGIM,ALMA,IL0011368292,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",389.10,,,
ALON GAS,ALGS,IL0011176885,"TA-Growth, TA-AllShare, TA Oil & Gas Index",1392.00,1.90,11.40,10:14
ALONY HETZ,ALHE,IL0003900136,"TA-35, TA-125, TA-RealEstate, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Investment Properties in Israel",4443.00,-0.16,5703.65,12:29
ALROV PROPERT,ALRPR,IL0003870198,"TA-RealEstate, Tel-Div Index, TA-Growth, TA-AllShare, TA-Investment Properties Abroad",11910.00,2.58,140.98,12:29
ALTSHU FUND PEN,ASPF,IL0011590374,"TA-90, TA-125, TA-Finance Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",1805.00,0.84,2389.24,12:29
AMANET,AMAN,IL0006540129,"TA-Growth, TA-AllShare",1511.00,-2.52,10.91,11:10
AMIR MARK.,AMRK,IL0010922040,"TA-Growth, TA-AllShare",2440.00,-4.95,748.54,12:27
AMOT,AMOT,IL0010972789,"TA-35, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Investment Properties in Israel",1845.00,0.71,1368.48,12:28
ANALYST,ANLT,IL0010806136,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",1893.00,,,
ANGEL SALOMON,ANGL,IL0001800189,"TA-Growth, TA-AllShare, TA-Industrials",4581.00,,,
APIO AFRICA-M,APIO.M,IL0003830184,,2600.00,-1.89,168.27,10:15
APOLLO POWER,APLP,IL0010821143,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Energy Utilities, TA-Cleantech",1270.00,18.69,7669.37,12:27
ARAD,ARD,IL0010916513,"TA-90, TA-125, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",4632.00,-1.82,294.91,12:22
ARAD INVESTMENT,ARAD,IL0007310183,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",32320.00,1.70,383.97,12:21
ARAN,ARAN,IL0010852650,"TA-Growth, TA-AllShare",1548.00,,,
ARENA GROUP,ARNA,IL0003660136,,3.40,,,
ARKO HOLDINGS,ARKO,IL0003100117,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities",243.00,-0.74,2159.24,12:29
ARYT,ARYT,IL0005870147,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-Industrials",131.40,-1.79,53.97,12:25
ASHOT,ASHO,IL0003120172,"TA-Growth, TA-AllShare, TA-Industrials",1155.00,1.67,35.33,11:17
ASHTROM GROUP,ASHG,IL0011323156,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-Construction",5050.00,1.00,2409.07,12:29
ASPEN GROUP,ASGR,IL0003130155,"TA-SME60, TA-RealEstate, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",617.90,-1.01,11.40,11:17
ATREYU CAP,ATRY,IL0010961063,"TA-90, TA-125, TA-Finance Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",5460.00,-0.73,231.92,12:22
AUDIOCODES,AUDC,IL0010829658,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",9312.00,-0.18,888.08,12:22
AUGWIND,AUGN,IL0011059073,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities, TA-Cleantech",9063.00,-1.85,1389.35,12:28
AURA,AURA,IL0003730194,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Construction",200.10,2.35,105.22,12:19
AUTO BANK SERV,SHVA,IL0011581613,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus, TA-Rimon",1355.00,1.27,102.03,11:35
AVERBUCH,AVER,IL0006750173,"TA-Growth, TA-AllShare",1705.00,1.79,31.40,12:24
AVGOL,AVGL,IL0011009573,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",335.40,0.15,70.51,12:26
AVIATION LINKS,AVIA,IL0004130139,,922.00,-0.96,49.25,12:20
AVIV,AVIV,IL0004440181,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",1620.00,1.69,3.24,11:34
AVIV ARLON,AVLN,IL0001060131,,180.00,-0.39,67.99,11:05
AVROT,AVRT,IL0002970106,,41.60,,,
AYALON  HOLD.,AYAL,IL0002090152,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",1785.00,4.14,65.09,10:50
AZORIM,AZRM,IL0007150118,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Construction",809.30,0.41,818.68,12:21
AZRIELI GROUP,AZRG,IL0011194789,"TA-35, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Family, TA-Investment Properties in Israel",20300.00,-0.68,5895.61,12:29
B COMMUNICATION,BCOM,IL0011076630,"TA-Growth, TA-AllShare, TA-Communication & InformationTechnology",786.00,-0.23,449.36,12:04
B.YAIR,BYAR,IL0010972292,,1307.00,3.40,15.18,10:19
BABYLON,BBYL,IL0011016669,"TA-Growth, TA-AllShare",330.40,-2.99,480.28,12:25
BARAN,BRAN,IL0002860133,"TA-Growth, TA-AllShare",767.90,0.55,25.12,11:45
BATM,BVC,IL0010849045,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",379.70,-3.99,802.21,12:24
BAYSIDE LAND,BYSD,IL0007590198,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel",2639.00,-1.35,3105.35,12:29
BAZAN,ORL,IL0025902482,"TA-90, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities",76.50,-1.03,2182.52,12:28
BET SHEMESH,BSEN,IL0010815616,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",7726.00,0.12,524.12,12:29
BEZEQ,BEZQ,IL0002300114,"TA-35, TA-125, Tel-Div Index, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA Sector-Balance",385.00,-1.03,4951.50,12:28
BGI-M,BGI-M,IL0010927098,,119.10,,0.03,10:15
BIG,BIG,IL0010972607,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel",33500.00,-1.76,2420.58,12:29
BIO VIEW,BIOV,IL0010960495,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",447.40,19.56,1397.06,12:27
BIOLIGHT,BOLT,IL0010952237,,731.00,6.20,6.54,11:04
BIOLINE RX,BLRX,IL0011015182,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",52.00,0.39,108.45,12:26
BIOMX,PHGE,US09090D1037,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",2013.00,,,
BIRMAN,BIRM,IL0005300145,"TA-Growth, TA-AllShare, TA-Industrials",1067.00,,,
BLUE SQ REAL ES,BLSR,IL0010985658,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel",19100.00,-1.95,392.12,12:26
BONEI TICHON,BOTI,IL0005310128,,1290.00,4.03,245.56,12:07
BONUS BIOGROUP,BONS,IL0004850116,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",38.60,-0.26,69.96,11:36
BRACK CAPIT N V,BCNV,NL0009690619,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",27700.00,-0.82,156.38,12:20
BRAINSWAY,BWAY,IL0011007189,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",1085.00,-1.99,279.38,12:29
BRAM INDUS,BRAM,IL0010945157,"TA-Growth, TA-AllShare, TA-Industrials",380.40,-0.05,7.10,10:46
BRAND,BRND,IL0005360115,,452.10,-2.63,10.57,11:17
BRENMILLER,BNRG,IL0011415309,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Energy Utilities, TA-Cleantech",2464.00,3.14,312.55,12:28
BRILL,BRIL,IL0003990145,,454.00,,,
BRIMAG,BRMG,IL0010942832,"TA-Growth, TA-AllShare",1920.00,0.58,13.66,11:23
C I SYSTEMS,CISY,IL0004420126,,618.30,,,
CAMTEK,CAMT,IL0010952641,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",6348.00,3.17,1249.81,12:18
CAN FITE BIO,CANF,IL0010944739,,21.10,1.93,92.80,12:25
CANNASSURE,CSURE,IL0001110134,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Industrials",116.80,0.34,12.13,11:09
CANNOMED,CNMD,IL0011181166,,39.30,-2.00,20.91,11:54
CANZON,CNZN,IL0010960073,,870.70,,,
CAPITAL POINT,CPTP,IL0010971468,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",37.80,,,
CARASSO,CRSO,IL0011238503,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family",1220.00,-1.69,297.84,12:23
CARMIT,CRMT,IL0004400169,,1665.00,0.18,1.37,12:07
CASTRO,CAST,IL0002800162,"TA-Growth, TA-AllShare, TA-Industrials",3800.00,0.53,88.65,12:05
CELLCOM,CEL,IL0011015349,"TA-90, TA-125, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA-SME150, TA Sector-Balance",1522.00,-3.55,512.09,12:29
CHAM,CHAM,IL0003420143,,166.00,,,
CHIRON,CHR,IL0004560129,,148.00,4.52,575.11,12:28
CIM COM0.001$,CMCT,US1255255846,TA-Investment Properties Abroad,3400.00,0.15,2.89,10:09
CIM COMME.P L,CMCTP,US1255258576,,7890.00,,,
CITRUS PLANT 5,CTPL5,IL0007160356,,60000.00,,,
CITRUS PLANT1,CTPL1,IL0007160190,,19740.00,,,
CLAL BEVERAGES,CLBV,IL0011476855,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",4150.00,1.64,9.12,10:34
CLAL BIOTECH,CBI,IL0011042806,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",169.00,3.43,93.23,11:35
CLAL INSURANCE,CLIS,IL0002240146,"TA-90, TA-125, TA-Finance Index, TA-Maala Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",4252.00,-3.91,7325.35,12:28
COFIX GROUP,CFX,IL0003890154,,540.00,1.77,61.78,11:44
COHEN DEV,CDEV,IL0008100104,"TA-SME60, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150",6707.00,0.10,32.29,11:37
COMPUGEN,CGEN,IL0010852080,"TA-90, TA-125, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Industrials",4278.00,3.08,967.69,12:29
COMPUTER DIRECT,CMDR,IL0005070128,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite",22650.00,,,
D.N.A BIOMED,DNA,IL0011038523,,80.00,-1.84,143.10,11:59
DAN   HOTELS,DANH,IL0008220159,,2849.00,1.17,0.03,10:15
DANEL,DANE,IL0003140139,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",50190.00,2.07,6884.48,12:29
DECAMA CAPITAL,DCMA,IL0011161770,,61.20,2.34,4.90,10:45
DELEK     ROYAL,DLRL,IL0011294936,"TA-Growth, TA-AllShare, TA Oil & Gas Index, TA-Rimon",576.00,-1.25,3.24,10:59
DELEK AUTOMOTIV,DLEA,IL0008290103,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",2186.00,0.51,2345.52,12:26
DELEK DRILL L,DEDR.L,IL0004750209,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150, TA Sector-Balance",518.30,6.21,16793.87,12:29
DELEK GROUP,DLEKG,IL0010841281,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150, TA Sector-Balance",10830.00,8.33,33318.61,12:29
DELTA,DELT,IL0006270347,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",6990.00,-1.54,468.90,12:19
DIMRI,DIMRI,IL0010903156,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-Construction",12790.00,-0.85,332.18,12:19
DIRECT FINANCE,DIFI,IL0011681868,"TA-90, TA-125, TA-Finance Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150",57600.00,0.88,313.72,12:22
DISCOUNT,DSCT,IL0006912120,"TA-35, TA-125, TA-Finance Index, TA-Maala Index, TA-Banks5, TA-AllShare, TA-Rimon, TA Sector-Balance",1163.00,,9292.25,12:29
DISCOUNT INV,DISI,IL0006390137,"TA-Growth, TA-AllShare",909.80,3.16,1173.72,12:12
DOR ALON,DRAL,IL0010932023,"Tel-Div Index, TA-Growth, TA-AllShare, TA-Energy Utilities",7495.00,0.27,156.46,12:29
DORAL ENERGY,DORL,IL0011667685,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Energy Utilities, TA-Cleantech",1485.00,0.95,1410.94,12:29
DORSEL,DRSL,IL0010966765,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Investment Properties in Israel",1230.00,,,
DUNIEC,DUNI,IL0004000100,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Construction",12450.00,-1.35,203.16,12:11
E&M,EMCO,IL0003820102,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150",1340.00,-0.52,21.42,12:24
ECOPPIA,ECPA,IL0011698953,,1355.00,,6958.62,12:27
EDRI-EL,EDRL,IL0011051625,,86.90,4.45,21.21,11:23
EL AL,ELAL,IL0010878242,"TA-SME60, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150",64.80,-0.92,1019.80,12:26
ELBIT IMAGING,EMITF,IL0010811169,,518.90,,4.00,10:41
ELBIT MEDITEC,EMTC,IL0004740150,,98.50,,0.32,10:15
ELBIT SYSTEMS,ESLT,IL0010811243,"TA-35, TA-125, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials",42850.00,1.32,12246.60,12:29
ELCO,ELCO,IL0006940345,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA-Family",13940.00,0.29,664.78,12:24
ELDAV,ELDAV,IL0010836588,,223.00,0.36,150.52,12:18
ELECTRA,ELTR,IL0007390375,"TA-35, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-Family",156360.00,1.34,2313.46,12:28
ELECTRA CO  PR,ECP,IL0050101299,"TA-90, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",9540.00,-0.07,2437.22,12:28
ELECTRA REAL E.,ELCRE,IL0010940448,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",2389.00,0.80,402.32,12:22
ELECTREON,ELWS,IL0003680191,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-Energy Utilities, TA-Cleantech",31390.00,-0.35,2625.95,12:29
ELLOMAY,ELLO,IL0010826357,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Energy Utilities, TA-Cleantech",11710.00,2.09,229.48,12:09
ELMOR,ELMR,IL0011424541,"TA-Growth, TA-AllShare, TA-Industrials",595.10,,,
ELRON,ELRN,IL0007490779,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",1090.00,-0.09,14.64,10:30
ELSPEC,ELSPC,IL0010903644,"TA-Growth, TA-AllShare, TA-Industrials",393.30,4.02,3.03,12:05
EMILIA DEVEL,EMDV,IL0005890103,"TA-Growth, TA-AllShare",1850.00,4.40,151.46,12:00
ENDYMED,ENDY,IL0011010217,,310.00,0.65,27.60,11:23
ENERGEAN,ENOG,GB00BG12Y042,"TA-35, TA-125, TA-Maala Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA Sector-Balance",3255.00,1.40,1084.17,12:26
ENERGIX,ENRG,IL0011233553,"TA-35, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials, TA-Energy Utilities, TA-Cleantech",1363.00,0.89,3215.69,12:28
ENLIGHT ENERGY,ENLT,IL0007200111,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-Energy Utilities, TA-Cleantech",657.70,-1.67,2041.32,12:29
ENLIVEX,ENLV,IL0011319527,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",2830.00,1.73,591.26,12:29
EQUITAL,EQTL,IL0007550176,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",8003.00,0.15,459.75,12:23
ERECH FINANCE,EFNC,IL0011201618,,5700.00,1.71,26.67,12:04
EVOGENE,EVGN,IL0011050551,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",970.70,0.48,302.68,12:15
EXPORT INV,EXPO,IL0007040152,"TA-Growth, TA-AllShare",1939.00,-0.46,8.01,11:01
FANTASY NETWORK,FNTS,IL0002780109,,363.00,3.15,125.60,12:25
FATTAL HOLD,FTAL,IL0011434292,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",28650.00,-2.12,7187.54,12:29
FIBI BANK,FIBI,IL0005930388,"TA-35, TA-125, TA-Finance Index, TA-Banks5, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance",8327.00,0.33,3235.77,12:28
FIBI HOLDINGS,FIBIH,IL0007630119,"TA-90, TA-125, TA-Finance Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",9218.00,-0.22,228.51,12:29
FIRE AND GAS,FGAS,IL0011653073,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Industrials",918.00,4.53,178.65,11:57
FMS,FBRT,IL0003150104,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials, TA-Family",9488.00,0.41,193.05,11:43
FORESIGHT,FRSX,IL0001990188,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150",77.50,-2.39,332.24,12:06
FORMULA,FORTY,IL0002560162,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",26710.00,-1.07,1083.86,12:29
FOX,FOX,IL0010870223,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-Family",29400.00,-1.51,5962.20,12:29
FRESHMARKET,FRSM,IL0011578338,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family",1296.00,0.47,821.20,12:23
FRIDENSON,FRDN,IL0011022196,,6400.00,-1.54,0.64,11:21
G 1 SECU,GOSS,IL0011562803,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",680.00,-0.38,37.67,11:58
G.F.C-L,GFC-L,IL0011226888,,1070.00,,,
G.P GLOBAL,GPGB,IL0011447815,"TA-Growth, TA-AllShare, TA-Energy Utilities",866.90,-2.50,11.21,11:35
GADSDEN PROP,GADS,US36257R1041,,139.30,,,
GAN SHMUEL,GSFI,IL0005320101,"TA-Growth, TA-AllShare, TA-Industrials",2530.00,3.18,14.06,10:42
GAON,GAON,IL0011047441,,3847.00,,,
GAON GROUP,GAGR,IL0004540170,"TA-Growth, TA-AllShare, TA-Industrials",488.70,,37.25,12:22
GAZIT GLOBE,GZT,IL0001260111,"TA-90, TA-125, TA-RealEstate, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-Investment Properties Abroad",1990.00,-0.50,2841.57,12:25
GENCELL,GNCL,IL0011696890,,1081.00,3.94,1172.00,12:28
GENERATION CAP,GNRS,IL0011569261,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Energy Utilities",91.30,2.58,908.04,12:28
GIBUI HOLDING,GIBUI,IL0004480195,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",1446.00,11.75,6.47,11:00
GILAT,GILT,IL0010825102,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",2047.00,1.39,710.34,12:29
GINEGAR,GNGR,IL0010958929,"TA-Growth, TA-AllShare, TA-Rimon, TA-Industrials",1748.00,,,
GIVOT     L,GIVO.L,IL0005060228,"TA-Growth, TA-AllShare, TA Oil & Gas Index",58.50,-1.02,378.39,12:28
GIX,GIX,IL0007440113,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index",122.90,-3.98,248.83,12:28
GLILEO TECH,GLTC,IL0010819832,,81.00,7.14,842.62,12:21
GLOB EXPLOR,GLEX.L,IL0011198335,,61.00,6.09,5.17,10:19
GLOBAL KNAFAIM,GKL,IL0011413163,"TA-Growth, TA-AllShare",81.90,1.36,1.23,09:59
GLOBRANDS,GLRS,IL0011474876,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",36680.00,-0.38,86.57,12:14
GODM-M,GODM-M,IL0004940131,,45.00,2.27,2.33,10:15
GOLAN PLASTIC,GLPL,IL0010919335,"TA-Growth, TA-AllShare, TA-Industrials",749.00,1.53,92.51,12:29
GOLD,GOLD,IL0001490130,"TA-Growth, TA-AllShare",11850.00,1.28,18.64,11:34
GOLDEN HOUSE,GOHO,IL0002350101,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon, TA-Investment Properties in Israel",1250.00,,4.38,11:42
GOLF,GOLF,IL0010961485,"TA-Growth, TA-AllShare",380.00,1.04,15.21,11:35
HADASIT BIO,HDST,IL0010954050,,694.10,8.40,55.69,12:03
HADERA PAPER,HAP,IL0006320183,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",14200.00,-1.73,1068.39,12:26
HAGAG,HGG,IL0008230133,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Construction",1240.00,-0.32,90.88,12:08
HALMANALDUB INV,HAIN,IL0010946221,,769.90,0.93,20.07,10:43
HAMAMA,HMAM,IL0011047854,,243.50,,0.26,10:15
HAMASHBIR 365,MSBI,IL0011049595,,40.00,2.30,0.51,10:15
HAMAT,HAMAT,IL0003840167,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",1301.00,0.15,36.39,12:10
HAMLET,HAML,IL0010803240,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",5344.00,-4.37,770.78,12:29
HANAN MOR,HNMR,IL0011025322,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",3230.00,1.03,13.69,10:54
