Market Data - All Shares
As of  07/06/2023 

Name,Symbol ,ISIN,Index,Last Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
AYALON  HOLD.,AYAL,IL0002090152,"TA-Finance Index, TA-Maala Index, TA-Growth, TA-AllShare, TA Insurance-Plus, TA-Insurance",1590.00,3.38,126.46,EoD
AZORIM,AZRM,IL0007150118,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Construction, TA-125 Fossil Free",1055.00,6.22,2528.94,EoD
AZRIELI GROUP,AZRG,IL0011194789,"TA-35, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Family, TA-Investment Properties in Israel, TA-125 Fossil Free",20890.00,2.91,49416.02,EoD
B COMMUNICATION,BCOM,IL0011076630,"TA-Growth, TA-AllShare, TA-Communication & InformationTechnology",1126.00,0.99,2041.10,EoD
BAIT BAKFAR,BKFR,IL0011836561,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Investment Properties in Israel",1023.00,2.45,89.73,EoD
BAIT VEGAG GL,BVGG,IL0011853624,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon, TA-Construction",798.20,1.88,111.00,EoD
BARAN,BRAN,IL0002860133,"TA-Growth, TA-AllShare",872.90,-3.63,619.71,EoD
BAREKET,BRKT,IL0011782765,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",138.00,1.10,103.16,EoD
BATM,BVC,IL0010849045,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-Dual listing",116.20,2.11,242.21,EoD
BAZAN,ORL,IL0025902482,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities",102.10,0.69,6512.28,EoD
BEEIO HONEY,BHNY,IL0010823461,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index",122.90,-0.81,14.25,EoD
BET SHEMESH,BSEN,IL0010815616,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",9780.00,2.15,1016.64,EoD
BEYON 3D,BYON,IL0011755613,,19.50,-6.70,2.89,EoD
BEZEQ,BEZQ,IL0002300114,"TA-35, TA-125, TA-Maala Index, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA Sector-Balance, TA-125 Fossil Free",472.90,2.58,70234.41,EoD
BIG,BIG,IL0010972607,"TA-35, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Family, TA-Investment Properties in Israel, TA-125 Fossil Free",32200.00,1.32,7875.19,EoD
BIG-TECH 50 PU,BIGT,IL0011722951,,239.40,0.00,0.00,EoD
BIKUREY HASHDE,BKRY,IL0011726184,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Family",191.20,0.68,35.74,EoD
BIO VIEW,BIOV,IL0010960495,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",350.30,-4.58,25.55,EoD
BIOLIGHT,BOLT,IL0010952237,,599.00,-5.61,14.48,EoD
BIOLINE RX,BLRX,IL0011015182,,38.70,1.84,205.74,EoD
BIOMEAT FOOD PU,BIMT,IL0011739054,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon",71.80,2.57,35.32,EoD
BIRMAN,BIRM,IL0005300145,"TA-Growth, TA-AllShare, TA-Industrials",1719.00,-0.06,2.34,EoD
BLADE RANGER,BLRN,IL0011705139,,323.80,0.00,0.00,EoD
BLENDER,BLND,IL0011720971,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index",520.30,4.48,83.27,EoD
BLITZ,BLTZ,IL0004240102,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Industrials",55.00,3.97,46.18,EoD
BLUE SQ REAL ES,BLSR,IL0010985658,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel, TA-125 Fossil Free",21400.00,2.79,1699.83,EoD
BONEI TICHON,BOTI,IL0005310128,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",2970.00,-2.01,698.93,EoD
BONUS BIOGROUP,BONS,IL0004850116,,15.50,3.33,404.55,EoD
BRACK CAPIT N V,BCNV,NL0009690619,,43410.00,0.00,0.00,EoD
BRAINSWAY,BWAY,IL0011007189,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-Dual listing",402.70,4.22,763.10,EoD
BRAM INDUS,BRAM,IL0010945157,,167.10,0.12,17.39,EoD
BRAND,BRND,IL0005360115,"TA-Growth, TA-AllShare, TA-Industrials",244.90,0.57,6.69,EoD
BRENMILLER,BNRG,IL0011415309,,343.40,-2.99,25.75,EoD
BRILL,BRIL,IL0003990145,"TA-Growth, TA-AllShare, TA-Retail",1581.00,1.87,83.40,EoD
BRIMAG,BRMG,IL0010942832,"TA-Growth, TA-AllShare",1346.00,8.64,199.15,EoD
BUBBLES,BBLS,IL0011051393,,32.30,0.00,0.00,EoD
BUFF TECH',BUFT,IL0011790438,,990.70,-0.26,4.43,EoD
BULIGO,BLGO,IL0011805954,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon, TA-Investment Properties Abroad",839.20,-0.10,21.38,EoD
BULL TRADING,BULL,IL0011766354,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",428.10,3.48,26.04,EoD
C I SYSTEMS,CISY,IL0004420126,,1206.00,0.00,0.01,EoD
CAMTEK,CAMT,IL0010952641,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-125 Fossil Free, TA-Dual listing",11280.00,3.20,5844.71,EoD
CAN FITE BIO,CANF,IL0010944739,,3.40,-2.86,298.42,EoD
CANADA GLOBAL,CNGL,IL0001060131,,367.10,2.31,12.25,EoD
CANNABOTECH,CNTC,IL0011769085,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",1354.00,-0.29,31.92,EoD
CANNASSURE,CSURE,IL0001110134,,36.80,0.00,1.14,EoD
CANZON,CNZN,IL0010960073,,286.60,6.11,6.26,EoD
CAPITAL POINT,CPTP,IL0010971468,,53.60,-4.29,30.82,EoD
CARASSO MOTORS,CRSM,IL0011238503,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-125 Fossil Free",1702.00,1.79,2060.06,EoD
CARASSO REAL ES,CRSR,IL0011879629,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Construction",2385.00,2.62,3482.29,EoD
CARMEL CORP,CRML,IL0011476855,"TA-Growth, TA-AllShare, TA-Rimon, TA-Industrials",2198.00,-0.41,13.76,EoD
CARMIT,CRMT,IL0004400169,,695.90,-0.80,71.46,EoD
CASTRO,CAST,IL0002800162,"TA-Growth, TA-AllShare, TA-Retail",3653.00,-2.30,68.34,EoD
CELLCOM,CEL,IL0011015349,"TA-90, TA-125, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA-SME150, TA Sector-Balance, TA-125 Fossil Free",1397.00,0.22,3575.06,EoD
CION,CION,US17259U2042,,3969.00,0.00,0.00,EoD
CIPIA VISION,CPIA,IL0011819328,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite",30.50,5.17,168.95,EoD
CITRUS PLANT 5,CTPL5,IL0007160356,,106950.00,0.00,0.00,EoD
CITRUS PLANT1,CTPL1,IL0007160190,,33010.00,0.00,0.00,EoD
C-LAB,CLAB,IL0011403008,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Industrials",1656.00,-0.54,19.29,EoD
CLAL BIOTECH,CBI,IL0011042806,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite",60.80,-0.33,41.64,EoD
CLAL INSURANCE,CLIS,IL0002240146,"TA-90, TA-125, TA-Finance Index, TA-Maala Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance, TA-125 Fossil Free, TA-Insurance",5622.00,4.61,6431.63,EoD
COFIX GROUP,CFX,IL0003890154,"TA-Growth, TA-AllShare, TA-Retail",398.80,-3.76,90.18,EoD
COHEN DEV,CDEV,IL0008100104,"TA-Growth, TA-AllShare, TA Oil & Gas Index, TA-Rimon",9866.00,1.07,25.06,EoD
COMPUGEN,CGEN,IL0010852080,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-Dual listing",465.20,11.11,1002.31,EoD
COMPUTER DIRECT,CMDR,IL0005070128,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite",27060.00,0.97,14.61,EoD
CONTINUAL,CNTL,IL0011822603,,62.50,-3.85,33.91,EoD
CREATIVE MEDIA,CMCT,US1255255846,TA-Investment Properties Abroad,1980.00,0.00,0.00,EoD
DAN   HOTELS,DANH,IL0008220159,,2374.00,0.51,25.12,EoD
DANEL,DANE,IL0003140139,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-125 Fossil Free",23020.00,0.00,2594.74,EoD
DANYA CEBUS,DNYA,IL0011731374,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Construction, TA-125 Fossil Free",8991.00,1.02,1345.20,EoD
DECMA CAPITAL,DCMA,IL0011161770,,51.50,0.00,27.26,EoD
DELEK AUTOMOTIV,DLEA,IL0008290103,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",2860.00,-1.38,7604.48,EoD
DELEK GROUP,DLEKG,IL0010841281,"TA-35, TA-125, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA Sector-Balance",43400.00,2.07,26642.24,EoD
DELTA BRANDS,DLTI,IL0011736993,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Retail",3811.00,0.95,161.24,EoD
DELTA GALIL,DELG,IL0006270347,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-125 Fossil Free",14940.00,4.18,1759.80,EoD
DIMRI,DIMRI,IL0010903156,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-Construction, TA-125 Fossil Free",23390.00,4.00,4587.49,EoD
DIPLOMAT HOLDI.,DIPL,IL0011734915,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-125 Fossil Free",3320.00,0.24,837.66,EoD
DIRECT FINANCE,DIFI,IL0011681868,"TA-90, TA-125, TA-Finance Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance, TA-125 Fossil Free",47740.00,3.04,2816.23,EoD
DISCOUNT,DSCT,IL0006912120,"TA-35, TA-125, TA-Finance Index, TA-Maala Index, TA-Banks5, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-125 Fossil Free",1871.00,3.26,70087.15,EoD
DISCOUNT INV,DISI,IL0006390137,"TA-Growth, TA-AllShare",380.60,-1.58,396.42,EoD
DM3,DM3,IL0011775181,,202.60,-0.59,10.56,EoD
DNA GROUP,DNA,IL0011038523,"TA-Growth, TA-AllShare",70.00,0.00,0.24,EoD
DOR ALON,DRAL,IL0010932023,"TA-Growth, TA-AllShare, TA-Energy Utilities",7282.00,3.76,281.49,EoD
DORAL ENERGY,DORL,IL0011667685,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-Energy Utilities, TA-Cleantech, TA-125 Fossil Free",794.00,4.21,1313.04,EoD
DORSEL HOLD,DRSH,IL0011906281,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon, TA-Investment Properties in Israel",1174.00,0.77,140.45,EoD
DUNIEC,DUNI,IL0004000100,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Construction, TA-125 Fossil Free",17920.00,0.96,781.50,EoD
E&M,EMCO,IL0003820102,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150",931.10,0.83,92.97,EoD
ECONERGY,ECNR,IL0011783342,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Energy Utilities, TA-Cleantech",810.10,-0.11,50.04,EoD
ECOPPIA,ECPA,IL0011698953,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Industrials",113.00,0.62,7.51,EoD
EL AL,ELAL,IL0010878242,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",384.70,1.10,2900.12,EoD
ELBIT IMAGING-M,EMITF-M,IL0010811169,,554.90,0.89,8.74,EoD
ELBIT MEDITEC-M,EMTC-M,IL0004740150,,62.00,0.00,0.00,EoD
ELBIT SYSTEMS,ESLT,IL0010811243,"TA-35, TA-125, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials, TA-125 Fossil Free, TA-Dual listing",74210.00,0.83,28969.41,EoD
ELCO,ELCO,IL0006940345,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA-Family",13240.00,3.44,2226.47,EoD
ELDAV,ELDAV,IL0010836588,,191.20,0.00,0.00,EoD
ELECTRA,ELTR,IL0007390375,"TA-35, TA-125, TA-AllShare, TA-Rimon, TA-Family, TA-125 Fossil Free",163080.00,4.17,7834.55,EoD
ELECTRA CO  PR,ECP,IL0050101299,"TA-90, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-125 Fossil Free, TA-Retail",9333.00,3.70,2130.11,EoD
ELECTRA POWER,ELCP,IL0011669178,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Energy Utilities",4189.00,0.26,9.34,EoD
ELECTRA REAL E.,ELCRE,IL0010940448,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties Abroad, TA-125 Fossil Free",3884.00,2.24,2034.79,EoD
ELECTREON,ELWS,IL0003680191,"TA-Maala Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-Energy Utilities, TA-Cleantech",7290.00,-1.15,2471.26,EoD
ELLOMAY,ELLO,IL0010826357,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Energy Utilities, TA-Cleantech, TA-Dual listing",6108.00,1.23,112.93,EoD
ELMOR,ELMR,IL0011424541,"TA-Growth, TA-AllShare, TA-Industrials",1069.00,1.81,18.88,EoD
ELRON,ELRN,IL0007490779,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon",476.70,4.61,19.12,EoD
ELSPEC,ELSPC,IL0010903644,"TA-Growth, TA-AllShare, TA-Industrials",340.80,0.32,39.68,EoD
EMILIA DEVEL,EMDV,IL0005890103,"TA-Growth, TA-AllShare",2332.00,-1.06,31.83,EoD
ENDYMED,ENDY,IL0011010217,,322.50,6.79,1.94,EoD
ENERGEAN,ENOG,GB00BG12Y042,"TA-35, TA-125, TA-Maala Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA Sector-Balance, TA-Dual listing",5180.00,-0.37,5462.71,EoD
ENERGIX,ENRG,IL0011233553,"TA-35, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials, TA-Energy Utilities, TA-Cleantech, TA-125 Fossil Free",1281.00,0.95,11451.23,EoD
ENLIGHT ENERGY,ENLT,IL0007200111,"TA-35, TA-125, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials, TA-Energy Utilities, TA-Cleantech, TA-125 Fossil Free",6973.00,-0.23,13544.37,EoD
ENLIVEX,ENLV,IL0011319527,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-Dual listing",951.20,-3.56,258.31,EoD
ENVIZION,ENVM,IL0011758195,,1137.00,1.97,2.06,EoD
EPITOMEE MED,EPIT,IL0011825911,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",874.60,0.53,130.66,EoD
EQUITAL,EQTL,IL0007550176,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",10480.00,5.17,3318.38,EoD
ERECH FINANCE,EFNC,IL0011201618,,658.50,0.00,0.00,EoD
ERIKA B-CURE,BCUR,IL0011789125,,18.60,0.54,2.77,EoD
ETGA GROUP,ETGA,IL0011761140,"TA-Growth, TA-AllShare, TA-Rimon",1596.00,-0.25,2.12,EoD
EVOGENE,EVGN,IL0011050551,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-Dual listing",216.50,-0.55,44.80,EoD
EXPORT INV,EXPO,IL0007040152,"TA-Growth, TA-AllShare",3793.00,1.50,67.05,EoD
FATTAL HOLD,FTAL,IL0011434292,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-125 Fossil Free",35610.00,4.09,4634.66,EoD
FEAT INV PU,FEAT,IL0011731788,,154.30,0.00,0.00,EoD
FIBI BANK,FIBI,IL0005930388,"TA-35, TA-125, TA-Finance Index, TA-Banks5, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-125 Fossil Free",14930.00,1.29,65100.37,EoD
FIBI HOLDINGS,FIBIH,IL0007630119,"TA-90, TA-125, TA-Finance Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-125 Fossil Free",15270.00,2.21,10148.73,EoD
FIRE AND GAS,FGAS,IL0011653073,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Industrials",566.90,2.98,24.70,EoD
