Market Data - All Shares
As of  04/11/2020 14:31

Name,Symbol ,ISIN,Index,Last Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
ANALYST,ANLT,IL0010806136,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",1638.00,-1.68,41.97,13:27
ANGEL SALOMON,ANGL,IL0001800189,"TA-Growth, TA-AllShare, TA-Industrials",4951.00,,,
APIO AFRICA-M,APIO.M,IL0003830184,,5000.00,257.91,49.50,10:15
APOLLO POWER,APLP,IL0010821143,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Energy Utilities",710.00,-2.37,289.90,14:22
ARAD,ARD,IL0010916513,"TA-90, TA-125, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",4310.00,-0.37,219.71,14:13
ARAD INVESTMENT,ARAD,IL0007310183,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",26250.00,-0.08,2233.71,14:00
ARAN,ARAN,IL0010852650,"TA-Growth, TA-AllShare",1492.00,,,
ARENA GROUP,ARNA,IL0003660136,,3.20,,,
ARKO HOLDINGS,ARKO,IL0003100117,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities",236.00,0.04,1793.13,14:14
ARYT,ARYT,IL0005870147,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-Industrials",130.00,0.15,2.08,13:27
ASHOT,ASHO,IL0003120172,"TA-Growth, TA-AllShare, TA-Industrials",1116.00,,,
ASHTROM GROUP,ASHG,IL0011323156,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-Construction",4421.00,0.59,2866.15,14:31
ASPEN GROUP,ASGR,IL0003130155,"TA-SME60, TA-RealEstate, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",503.30,-1.10,139.57,14:16
ATREYU CAP,ATRY,IL0010961063,"TA-90, TA-125, TA-Finance Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",5449.00,-0.07,386.08,14:26
AUDIOCODES,AUDC,IL0010829658,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",10020.00,1.53,2433.51,14:25
AUGWIND,AUGN,IL0011059073,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities",9677.00,0.38,1402.60,14:24
AURA,AURA,IL0003730194,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Construction",157.00,-1.44,119.51,14:21
AUTO BANK SERV,SHVA,IL0011581613,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus, TA-Rimon",1196.00,0.93,86.63,14:04
AVERBUCH,AVER,IL0006750173,"TA-Growth, TA-AllShare",2002.00,-1.14,6.89,10:19
AVGOL,AVGL,IL0011009573,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",375.50,-0.84,71.23,14:02
AVIATION LINKS,AVIA,IL0004130139,,604.50,,,
AVIV,AVIV,IL0004440181,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",1495.00,1.08,11.04,14:19
AVIV ARLON,AVLN,IL0001060131,,187.50,,,
AVROT,AVRT,IL0002970106,,36.90,3.94,0.00,10:15
AYALON  HOLD.,AYAL,IL0002090152,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",1719.00,1.48,78.99,13:46
AZORIM,AZRM,IL0007150118,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Construction",623.00,0.56,397.29,14:13
AZRIELI GROUP,AZRG,IL0011194789,"TA-35, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Family, TA-Investment Properties in Israel",17320.00,0.76,4365.28,14:27
B COMMUNICATION,BCOM,IL0011076630,"TA-Growth, TA-AllShare, TA-Communication & InformationTechnology",751.10,,382.87,14:25
B.YAIR,BYAR,IL0010972292,,1310.00,,,
BABYLON,BBYL,IL0011016669,"TA-Growth, TA-AllShare",356.00,1.25,191.92,12:53
BARAN,BRAN,IL0002860133,"TA-Growth, TA-AllShare",710.00,-1.85,82.78,14:30
BATM,BVC,IL0010849045,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",445.90,1.76,388.59,14:23
BAYSIDE LAND,BYSD,IL0007590198,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel",2396.00,-1.40,6656.85,14:31
BAZAN,ORL,IL0025902482,"TA-90, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities",60.30,-3.05,10100.44,14:30
BET SHEMESH,BSEN,IL0010815616,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",5175.00,2.48,549.08,14:24
BEZEQ,BEZQ,IL0002300114,"TA-35, TA-125, Tel-Div Index, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA Sector-Balance",375.80,-0.32,6988.55,14:31
BGI-M,BGI-M,IL0010927098,,115.20,-2.95,6.44,10:15
BIG,BIG,IL0010972607,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel",27380.00,0.04,1316.10,14:27
BIO VIEW,BIOV,IL0010960495,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",286.00,,,
BIOLIGHT,BOLT,IL0010952237,,679.60,,6.80,13:39
BIOLINE RX,BLRX,IL0011015182,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",63.40,20.99,3582.48,14:31
BIOMX,PHGE,US09090D1037,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",2185.00,5.91,110.44,14:20
BIRMAN,BIRM,IL0005300145,"TA-Growth, TA-AllShare, TA-Industrials",1030.00,,,
BLUE SQ REAL ES,BLSR,IL0010985658,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel",16350.00,3.74,1411.57,14:31
BONEI TICHON,BOTI,IL0005310128,,820.00,3.55,76.28,13:56
BONUS BIOGROUP,BONS,IL0004850116,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",38.60,-0.26,286.93,13:56
BRACK CAPIT N V,BCNV,NL0009690619,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",25880.00,0.04,111.51,14:13
BRAINSWAY,BWAY,IL0011007189,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",984.00,-0.69,49.39,14:19
BRAM INDUS,BRAM,IL0010945157,"TA-Growth, TA-AllShare, TA-Industrials",386.20,,,
BRAND,BRND,IL0005360115,,340.00,5.04,39.05,13:02
BRENMILLER,BNRG,IL0011415309,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Energy Utilities",1895.00,-1.76,321.14,14:22
BRILL,BRIL,IL0003990145,,440.20,,,
BRIMAG,BRMG,IL0010942832,"TA-Growth, TA-AllShare",1550.00,0.91,2.40,13:43
C I SYSTEMS,CISY,IL0004420126,,556.30,,,
CAMTEK,CAMT,IL0010952641,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",6280.00,1.40,791.64,14:26
CAN FITE BIO,CANF,IL0010944739,,20.30,1.00,24.61,13:07
CANNASSURE,CSURE,IL0001110134,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Industrials",116.20,,,
CANNOMED,CNMD,IL0011181166,,37.40,1.08,27.16,13:09
CANZON,CNZN,IL0010960073,,700.00,-0.17,24.50,14:23
CAPITAL POINT,CPTP,IL0010971468,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",37.30,,,
CARASSO,CRSO,IL0011238503,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family",1025.00,-1.91,38.95,13:34
CARMIT,CRMT,IL0004400169,,1411.00,0.07,11.16,13:59
CASTRO,CAST,IL0002800162,"TA-Growth, TA-AllShare, TA-Industrials",3079.00,2.22,1503.31,12:57
CELLCOM,CEL,IL0011015349,"TA-90, TA-125, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA-SME150, TA Sector-Balance",1295.00,-1.89,554.24,14:28
CHAM,CHAM,IL0003420143,,164.00,,,
CHIRON,CHR,IL0004560129,,1143.00,3.16,30.74,12:47
CIM COM0.001$,CMCT,US1255255846,TA-Investment Properties Abroad,2577.00,,,
CIM COMME.P L,CMCTP,US1255258576,,7999.00,,,
CITRUS PLANT 5,CTPL5,IL0007160356,,60000.00,,,
CITRUS PLANT1,CTPL1,IL0007160190,,19000.00,,,
CLAL BEVERAGES,CLBV,IL0011476855,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",4170.00,0.70,2.29,10:09
CLAL BIOTECH,CBI,IL0011042806,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",178.00,2.65,216.91,14:10
CLAL INSURANCE,CLIS,IL0002240146,"TA-90, TA-125, TA-Finance Index, TA-Maala Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",3750.00,4.11,8320.82,14:31
COFIX GROUP,CFX,IL0003890154,,339.30,2.82,5.09,11:55
COHEN DEV,CDEV,IL0008100104,"TA-SME60, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150",6035.00,-1.05,83.70,12:56
COMPUGEN,CGEN,IL0010852080,"TA-90, TA-125, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Industrials",4530.00,2.54,630.36,14:15
COMPUTER DIRECT,CMDR,IL0005070128,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite",15650.00,,,
D.N.A BIOMED,DNA,IL0011038523,,74.20,-1.98,14.17,13:59
DAN   HOTELS,DANH,IL0008220159,,2740.00,2.20,4.12,13:02
DANEL,DANE,IL0003140139,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",45290.00,0.96,1852.35,14:29
DECAMA CAPITAL,DCMA,IL0011161770,,50.90,,,
DELEK     ROYAL,DLRL,IL0011294936,"TA-Growth, TA-AllShare, TA Oil & Gas Index, TA-Rimon",574.00,0.40,50.35,12:10
DELEK AUTOMOTIV,DLEA,IL0008290103,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",1748.00,0.98,1782.59,14:18
DELEK DRILL L,DEDR.L,IL0004750209,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150, TA Sector-Balance",357.00,0.56,1583.91,14:20
DELEK GROUP,DLEKG,IL0010841281,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150, TA Sector-Balance",6285.00,0.77,1624.27,14:23
DELTA,DELT,IL0006270347,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",6416.00,-0.02,524.16,14:29
DIMRI,DIMRI,IL0010903156,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-Construction",10450.00,0.48,91.95,14:13
DIRECT FINANCE,DIFI,IL0011681868,,57210.00,-0.16,1018.66,13:58
DISCOUNT,DSCT,IL0006912120,"TA-35, TA-125, TA-Finance Index, TA-Maala Index, TA-Banks5, TA-AllShare, TA-Rimon, TA Sector-Balance",985.10,1.14,17129.15,14:30
DISCOUNT INV,DISI,IL0006390137,"TA-Growth, TA-AllShare",748.80,2.37,2094.84,14:30
DOR ALON,DRAL,IL0010932023,"Tel-Div Index, TA-Growth, TA-AllShare, TA-Energy Utilities",6929.00,0.32,44.43,14:10
DORAL ENERGY,DORL,IL0011667685,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Energy Utilities",1378.00,-0.72,2252.50,14:29
DORSEL,DRSL,IL0010966765,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Investment Properties in Israel",1005.00,,,
DUNIEC,DUNI,IL0004000100,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Construction",9195.00,-0.10,25.21,11:22
E&M,EMCO,IL0003820102,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150",1260.00,1.20,281.37,14:31
EDRI-EL,EDRL,IL0011051625,,96.00,9.34,9.17,14:05
EL AL,ELAL,IL0010878242,"TA-SME60, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150",61.90,-0.80,701.84,14:06
ELBIT IMAGING,EMITF,IL0010811169,,439.90,2.02,68.75,14:19
ELBIT MEDITEC,EMTC,IL0004740150,,93.40,,5.77,12:03
ELBIT SYSTEMS,ESLT,IL0010811243,"TA-35, TA-125, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials",39020.00,0.05,21797.24,14:28
ELCO,ELCO,IL0006940345,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA-Family",12920.00,-0.62,865.78,14:29
ELDAV,ELDAV,IL0010836588,,190.00,1.60,2.28,10:27
ELECTRA,ELTR,IL0007390375,"TA-35, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-Family",152000.00,1.18,1201.76,14:28
ELECTRA CO  PR,ECP,IL0050101299,"TA-90, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",9486.00,,3048.49,14:30
ELECTRA REAL E.,ELCRE,IL0010940448,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",1898.00,3.32,289.25,14:22
ELECTREON,ELWS,IL0003680191,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-Energy Utilities",26670.00,-0.07,2948.41,14:31
ELLOMAY,ELLO,IL0010826357,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Energy Utilities",11900.00,,1170.33,14:29
ELMOR,ELMR,IL0011424541,"TA-Growth, TA-AllShare, TA-Industrials",559.70,1.21,2.24,12:07
ELRON,ELRN,IL0007490779,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",1004.00,3.32,584.72,14:04
ELSPEC,ELSPC,IL0010903644,"TA-Growth, TA-AllShare, TA-Industrials",414.80,3.57,12.66,14:12
EMILIA DEVEL,EMDV,IL0005890103,"TA-Growth, TA-AllShare",1699.00,1.19,2.65,10:58
ENDYMED,ENDY,IL0011010217,,334.50,5.02,10.41,14:17
ENERGEAN,ENOG,GB00BG12Y042,"TA-35, TA-125, TA-Maala Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA Sector-Balance",2319.00,-1.32,1181.32,14:28
ENERGIX,ENRG,IL0011233553,"TA-35, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials, TA-Energy Utilities",1428.00,0.35,5418.82,14:31
ENLIGHT ENERGY,ENLT,IL0007200111,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-Energy Utilities",639.90,1.01,6809.93,14:31
ENLIVEX,ENLV,IL0011319527,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",4128.00,2.28,1404.93,14:30
EQUITAL,EQTL,IL0007550176,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",6581.00,1.42,388.72,14:25
ERECH FINANCE,EFNC,IL0011201618,,3549.00,-0.31,25.19,10:20
EVOGENE,EVGN,IL0011050551,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",938.10,-3.24,649.38,14:23
EXPORT INV,EXPO,IL0007040152,"TA-Growth, TA-AllShare",1947.00,,,
FANTASY NETWORK,FNTS,IL0002780109,,359.80,1.04,16.17,12:38
FATTAL,FTAL,IL0011434292,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",21500.00,0.94,2428.49,14:30
FIBI BANK,FIBI,IL0005930388,"TA-35, TA-125, TA-Finance Index, TA-Banks5, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance",7955.00,0.70,4949.76,14:31
FIBI HOLDINGS,FIBIH,IL0007630119,"TA-90, TA-125, TA-Finance Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",9020.00,0.45,756.28,14:24
FIRE AND GAS,FGAS,IL0011653073,,818.20,1.99,0.08,10:15
FMS,FBRT,IL0003150104,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials, TA-Family",7848.00,-0.06,1367.12,14:28
FORESIGHT,FRSX,IL0001990188,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150",67.20,7.87,138.48,14:29
FORMULA,FORTY,IL0002560162,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",27610.00,-0.22,974.93,14:25
FOX,FOX,IL0010870223,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-Family",25560.00,-2.55,2138.22,14:24
FRESHMARKET,FRSM,IL0011578338,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family",1417.00,-0.21,1501.24,14:30
FRIDENSON,FRDN,IL0011022196,,6386.00,,,
G 1 SECU,GOSS,IL0011562803,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",663.50,-1.06,11.07,13:41
G.F.C-L,GFC-L,IL0011226888,,1113.00,,,
G.P GLOBAL,GPGB,IL0011447815,"TA-Growth, TA-AllShare, TA-Energy Utilities",885.60,6.19,461.59,13:22
GADSDEN PROP,GADS,US36257R1041,,139.30,,,
GAN SHMUEL,GSFI,IL0005320101,"TA-Growth, TA-AllShare, TA-Industrials",2940.00,,,
GAON,GAON,IL0011047441,,3555.00,,,
GAON GROUP,GAGR,IL0004540170,"TA-Growth, TA-AllShare, TA-Industrials",394.20,,2.43,13:41
GAZIT GLOBE,GZT,IL0001260111,"TA-90, TA-125, TA-RealEstate, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-Investment Properties Abroad",1462.00,3.69,3301.63,14:29
GENERATION CAP,GNRS,IL0011569261,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Energy Utilities",85.60,0.82,515.31,14:04
GIBUI HOLDING,GIBUI,IL0004480195,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",1139.00,3.64,26.98,14:31
GILAT,GILT,IL0010825102,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",2044.00,0.89,1537.10,14:31
GINEGAR,GNGR,IL0010958929,"TA-Growth, TA-AllShare, TA-Rimon, TA-Industrials",1538.00,,2.11,10:39
GIVOT     L,GIVO.L,IL0005060228,"TA-Growth, TA-AllShare, TA Oil & Gas Index",63.90,1.11,83.73,14:28
GIX,GIX,IL0007440113,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index",154.00,-0.45,82.99,12:14
GLILEO TECH,GLTC,IL0010819832,,45.50,-3.19,162.27,13:58
GLOB EXPLOR,GLEX.L,IL0011198335,,66.10,,4.19,14:00
GLOBAL KNAFAIM,GKL,IL0011413163,"TA-Growth, TA-AllShare",57.00,0.53,57.45,12:42
GLOBRANDS,GLRS,IL0011474876,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",38520.00,0.71,69.48,14:31
GODM-M,GODM-M,IL0004940131,,44.50,2.53,2.23,10:15
GOLAN PLASTIC,GLPL,IL0010919335,"TA-Growth, TA-AllShare, TA-Industrials",707.80,,,
GOLD,GOLD,IL0001490130,"TA-Growth, TA-AllShare",11590.00,,24.22,13:37
GOLDEN HOUSE,GOHO,IL0002350101,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon, TA-Investment Properties in Israel",1040.00,0.39,2.60,12:31
GOLF,GOLF,IL0010961485,"TA-Growth, TA-AllShare",400.50,4.16,77.70,14:24
HADASIT BIO,HDST,IL0010954050,,857.80,-0.81,107.93,14:24
HADERA PAPER,HAP,IL0006320183,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",10750.00,-0.09,112.74,14:12
HAGAG,HGG,IL0008230133,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Construction",1090.00,3.71,22.84,12:38
HALMANALDUB INV,HAIN,IL0010946221,,599.90,0.82,76.91,14:10
HAMAMA,HMAM,IL0011047854,,237.40,,,
HAMASHBIR 365,MSBI,IL0011049595,,37.00,-2.89,5.00,10:39
HAMAT,HAMAT,IL0003840167,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",1205.00,0.84,17.67,11:52
HAMLET,HAML,IL0010803240,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",5482.00,2.28,256.02,14:15
HANAN MOR,HNMR,IL0011025322,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",2410.00,2.08,5.98,10:00
HAREL,HARL,IL0005850180,"TA-35, TA-125, TA-Finance Index, TA-Maala Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA Sector-Balance, TA-Family",2502.00,1.30,2677.78,14:27
HILAN,HLAN,IL0010846983,"TA-90, TA-125, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",15490.00,1.11,1127.10,14:29
HIRON,HRON,IL0001500110,"TA-Growth, TA-AllShare",152100.00,,,
HOD,HOD,IL0003510158,"TA-Growth, TA-AllShare, TA-Industrials",1735.00,,,
