"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,quarterized_revenue,quarterized_earnings,effective_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,skip_reason
TLV:AFRE,AFRICA ISRAEL RESI,Real Estate,Israel,11436388304.74198,1262028800.0,103345466.66667,291068466.66667,25612466.66667,64478966.66667,776548633.33333,1262028800.0,103345466.66667,291068466.66667,25612466.66667,64478966.66667,776548633.33333,0.95968,0.95968,5.40321,5.40321,5.40321,0.46809,5.40321,9.22839,0.08663,0.0,0.0,0.0,0.0,0.0595,0.32603,0,8.855,16190,0.00055,0.567,12643500,111959000,8.85506,54,1240189095,60493387879,2073314.81481,13.571,0.04763,-0.01169,0.04763,-0.01169,0.04763,10.17533,51.92664,0.04763,1.28817,1,1,-58948600.0,-60698133.33333,9445423.30869,8655632.74795,9050528.02832,2.47984,2.46319,2.47152,1.57211,USD,ILS,1.0,0.30749,474.5507,395.4589,395.4589,395.4589,0.9153,8000,18830,15235.139,6.26749,102.375,-14.02018,1.51247,11.97051,1.40381,1.40608,0.34251,0.34813,26.8335,24.98678,1.1847,1.07,1.41494,0.35532,25.92014,1.13735,1.27615,3752019266.66667,3728918400.0,3740468833.33333,0.03724,None
TLV:AICS,AI CONVERSATION,Technology,Israel,1e+50,196800.0,-9587600.0,93600.0,-1230500.0,-5409050.0,145200.0,196800.0,-9587600.0,93600.0,-1230500.0,-5409050.0,145200.0,18.29873,18.29873,1315012.94149,1315012.94149,1315012.94149,19.27633,438337.64716,12484.2953,0,0.0,0.0,0.0,0.0,0.01,0.01,0,-0.597,260.5,-0.00229,3.02268,8879980,-5300000,-0.59685,6,6752276,711296534,-883333.33333,0.19093,0.0,0.19093,0.0,0.19093,0.0,0.19093,2.00463,0.0,1.05,1,1,-5480800.0,-966900.0,2363.19959,355410.70955,178886.95457,0.28923,0.32797,0.3086,0.55552,USD,ILS,1.0,0.30749,0,0,0,0,-0.00115,207.2,384.8,280.13126,-7.00788,25.72394,-32.30249,0.60023,0.60123,8.27533,4.46844,0.54465,0.37304,0.0,0.0,5.96018,2.27,6.38189,0.46884,0.01,4.12509,5.25349,8848466.66667,3667000.0,6257733.33333,-0.84438,None
TLV:AILN,AXILION,Technology,Israel,1e+50,0.0,-572200.0,0.0,-216400.0,-394300.0,0.0,0.0,-572200.0,0.0,-216400.0,-394300.0,0.0,0,0,115762303.47582,115762303.47582,115762303.47582,2764013089605.573,38587434.49194,408007.30525,0,0.0,0.0,0.0,0.0,0.01,0.04964,0,-0.08,547.8,-0.00015,10000.0,28646100,-754000,-0.02632,10000000,16087688,4564507586,-0.0754,0.0775,0.0,0.0775,0.0,0.0775,0.0,0.0775,1.43748,0.0,1.05,1,1,-132933.33333,-9100.0,1776868975.76394,5526249310235.383,2764013089605.573,-1.01379,-1.01182,102.28068,10.11339,USD,ILS,1.0,0.30749,0,0,0,0,-0.99932,1.25,800000,2767.4417,-80.20555,43724.0,-99.93152,0.00137,0.00237,0.01358,0.01168,0.0,0.0,0.0,0.0,0.01566,0.01168,0.02263,0.01,0.01,0.02367,0.02315,62000.0,59400.0,60700.0,-6.47588,None
TLV:ALBA,ALBAAD MASSUOT YIT,Consumer Defensive,Israel,435.61456,454648523.20133,10287754.428,117286341.186,8554248.804,9421001.616,285967432.19367,454648523.20133,10287754.428,117286341.186,8554248.804,9421001.616,285967432.19367,0.25768,0.25768,1.87751,1.87751,1.87751,0.13575,1.87751,1.51162,0.07228,0.0187,1.0,0.18285,2.5,0.13781,0.13038,0,10.611,6168,0.00172,0.4118,10530700,119788000,11.37512,1822,398180992,20979552959,65745.3348,0.478,0.03957,0.32726,0.03957,0.32726,0.03957,0.44032,3.25158,0.03957,1.24785,1,1,43188077.464,414414.52267,9.2197,960.8278,485.02375,1.97121,1.86376,1.91749,1.38473,ILS,ILS,0.30749,0.30749,237.4,189.92,189.92,170.928,6168,4877,9691,7474.0693,-17.47467,26.47119,-36.35332,0.53635,0.53735,1.51669,1.54703,0.78421,0.20092,0.43873,0.38253,1.3178,1.35472,1.54186,0.50256,0.42063,1.34626,1.44406,420322881.51867,438176201.904,429249541.71133,0.04195,None
TLV:ALGS,ALON NATURAL GAS E,Energy,Israel,3808707.46715,54355266.66667,18071666.66667,10842333.33333,3563933.33333,10817800.0,32598800.0,54355266.66667,18071666.66667,10842333.33333,3563933.33333,10817800.0,32598800.0,2.52173,2.52173,4.80407,4.80407,4.80407,1.90768,4.80407,3.26278,0.39705,0.0,0.0,0.0,0.0,0.23689,0.05252,0,1.243,1984,0.00063,1.14374,14038000,17447000,1.24284,10000000,110815066,8382729760,1.7447,-0.708,-0.08963,0.06638,-0.08963,0.06638,-0.08963,-0.5144,0.5356,-0.08963,0.96037,1,1,16131666.66667,12097733.33333,6.86941,9.15999,8.0147,3.2556,2.1502,2.7029,1.64405,USD,ILS,1.0,0.30749,356.178,356.178,178.234,357.285,1984,1005,2050,1484.1805,33.67646,97.41294,-3.21951,1.87368,43.26915,1.38182,1.50146,0.32865,2.05995,0.51107,0.56993,1.59493,1.90794,1.45164,1.2043,0.5505,1.76143,1.60654,243257800.0,227579600.0,235418700.0,0.06595,None
TLV:ALHE,ALONY HETZ,Real Estate,Israel,543082.51441,448727188.27133,161346521.788,106019169.61,21370944.48733,91358733.13767,277373178.94067,448727188.27133,161346521.788,106019169.61,21370944.48733,91358733.13767,277373178.94067,4.94382,4.94382,8.14787,8.14787,8.14787,0.01711,8.14787,5.9567,0.21067,0.88253,2.5,0.45709,2.5,0.675,0.40999,0,1.739,4655,0.00037,0.38259,173662000,302998016,1.74476,10000000,7110394587,2460641051,30.2998,-0.932,-0.00498,-0.22083,-0.00498,-0.22083,-0.00498,-0.75421,0.29579,-0.00498,1.04502,1,1,217937432.37333,72477811.92133,32.62585,98.10443,65.36514,2.43854,2.55984,2.49919,1.58088,ILS,ILS,0.30749,0.30749,30.0,50.0,29.0,29.0,4655,3126,4838,4394.0415,5.93892,48.91235,-3.78255,1.78621,32.47898,1.61947,1.60046,0.91081,1.00607,0.09764,0.09712,1.11413,1.50899,1.61996,0.96844,0.10738,1.32156,1.47076,7588347173.95667,8124021997.57067,7856184585.76367,0.03163,None
TLV:ALLT,ALLOT LTD,Technology,Israel,1e+50,120096133.33333,-9888133.33333,33874800.0,-3119200.0,-6503666.66667,76985466.66667,120096133.33333,-9888133.33333,33874800.0,-3119200.0,-6503666.66667,76985466.66667,4.74703,4.74703,105012767.06352,1742910.28318,92104034.96598,4.95565,30701344.98866,1005897.32021,-0.0845,-0.08684,0.0,-0.09569,0.0,-0.07677,0.74466,-0.11,-0.331,6262,-5e-05,5.3226,35623200,-11646000,-0.32692,504,654201436,68296802622,-23107.14286,0.04284,0.09089,0.04284,0.09089,0.04284,0.09089,0.04284,1.26419,0.09089,1.50443,1,1,-2106800.0,1434066.66667,29969815318.9576,456.18621,14984907887.57191,0.53349,0.60332,0.5684,0.75393,USD,ILS,1.0,0.30749,0,0,0,0,6262,2950,6838,5072.326,23.45421,112.27119,-8.42352,1.7037,24.45482,2.95997,2.66651,0.27084,0.10001,0.7804,0.18756,2.63904,2.55913,2.82324,0.19543,0.49398,2.60909,2.71616,202512600.0,206657466.66667,204585033.33333,-0.01179,None
TLV:ALMA,ALMOGIM HOLDINGS,Real Estate,Israel,345124.94825,169875933.33333,12547400.0,61255866.66667,7691733.33333,10119566.66667,115565900.0,169875933.33333,12547400.0,61255866.66667,7691733.33333,10119566.66667,115565900.0,0.78779,0.78779,3.74158,3.74158,3.74158,0.30823,3.74158,6.47635,0.08425,0.0,0.0,0.0,0.0,0.05814,0.01,0,0.452,559.4,0.00081,0.43531,37333400,17258000,0.46227,87,161348770,6313806211,198367.81609,1.876,0.01743,-0.17329,0.01743,-0.17329,0.01743,1.36368,7.86838,0.01743,1.13713,1,1,1230400.0,16255400.0,131.13522,9.92586,70.53054,4.425,3.62813,4.02656,2.00663,USD,ILS,1.0,0.30749,16.071,0,0,0,559.4,279.6,605.5,475.80624,17.56887,100.07153,-7.61354,1.71709,25.63068,1.23092,1.27606,0.96631,0.30538,25.23995,30.03047,1.6117,1.61994,1.26349,0.64584,27.64521,1.62582,1.44465,621381714.28571,657801066.66667,639591390.47619,0.03582,None
TLV:ALMD,ALLMED SOLUTIONS,Healthcare,Israel,1e+50,3046221.43267,-908960.93933,800580.964,-954110.721,-931535.83017,1923401.19833,3046221.43267,-908960.93933,800580.964,-954110.721,-931535.83017,1923401.19833,1.31483,1.31483,16604342.76565,16604342.76565,16604342.76565,1.59147,16604342.76565,137187.86465,-0.89083,-0.43528,0.0,-1.15294,0.0,-0.65796,0.04961,0,-0.11,61.6,-0.00179,0.31506,80613104,-8658000,-0.1074,40,12779447,1546753929,-216450.0,-0.27737,0.00028,-0.27737,0.00028,-0.27737,0.00028,-0.27737,0.77263,0.00028,1.0514,1,1,-3491384.95533,-600989.205,53169.27021,9750998.3016,4902083.7859,0.19661,0.15481,0.17571,0.41918,ILS,ILS,0.30749,0.30749,0,0,0,0,0.39052,38.2,87,61.07084,0.86648,61.25654,-29.1954,0.95902,0.96002,6.47272,7.42268,57.16394,75.26388,0.37586,0.47814,6.05922,7.03769,6.9577,66.22391,0.437,6.55846,6.75808,17582913.67933,17836695.426,17709804.55267,-0.0326,None
TLV:ALRPR,ALROV PROPERTIES,Real Estate,Israel,1120233784.41768,271852585.478,23073086.13133,50281789.76667,15379542.836,19226314.48367,161067187.62233,271852585.478,23073086.13133,50281789.76667,15379542.836,19226314.48367,161067187.62233,5.74453,5.74453,11.47537,11.47537,11.47537,1.71347,11.47537,12.06898,0.15016,0.00467,1.0,0.32066,1.0,0.2368,0.00498,0,3.947,15180,0.00026,0.23445,23053900,91508000,3.96931,1042,3500647997,104418671565,87819.57774,-0.60975,-0.16006,-0.60975,-0.16006,-0.60975,-0.16006,-0.60975,0.44025,-0.16006,0.88994,1,1,54079352.76467,5007987.13333,64.73169,699.01298,381.87233,2.02418,2.11808,2.07113,1.43914,ILS,ILS,0.30749,0.30749,42.0,62.5,103.4,101.0,0.71525,7650,17340,14029.583,8.19994,98.43137,-12.45675,1.55418,14.09312,1.54538,1.52135,0.08472,0.09747,7.12237,7.74851,0.45426,0.3409,1.54336,0.10109,7.44544,0.40758,0.97547,4320756146.53533,4386528401.03067,4353642273.783,0.02442,None
TLV:AMAN,AMANET MANAGEMENT,Industrials,Israel,325.88774,336122400.0,14323133.33333,84132900.0,1127500.0,7725316.66667,210127650.0,336122400.0,14323133.33333,84132900.0,1127500.0,7725316.66667,210127650.0,0.05873,0.05873,8.43962,8.43962,8.43962,0.12023,8.43962,1.97778,0.01323,0.0,0.0,0.0,0.0,0.01756,0.183,0,0.658,1817,0.00036,0.32941,7137850,4363000,0.61125,1493,19360864,3963840306,2922.30409,-0.31968,-0.01055,-0.31968,-0.01055,-0.31968,-0.01055,-0.31968,0.73032,-0.01055,1.03945,1,1,16939400.0,9817700.0,1.14295,1.97204,1.55749,0.74291,0.71672,0.72981,0.85429,USD,ILS,1.0,0.30749,105.974,60.4586,150.321,60.1286,0.20491,1306,1986,1683.4861,7.9308,39.12711,-8.50957,1.50294,11.52529,2.41798,2.47328,0.16202,0.19309,1.0883,0.79433,2.07055,2.20636,2.45563,0.18756,0.95131,2.14845,2.30204,193104200.0,197698400.0,195401300.0,0.05954,None
TLV:AMDA-L,ALMEDA VENTURES LI,,Israel,1e+50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,10000000000000.0,1.0,0,0,0.0,0.0,0.0,0.0,0.01,0.28321,0,0,688.5,0.0,10000.0,100000000,0,0.0,10000000,0,0,0.0,-0.9,-0.9,-0.9,-0.9,0,0,-0.9,0.15,-0.9,0.15,1,1,0,0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,0.0,0.0,USD,ILS,1.0,0.30749,0,0,0,0,688.5,684.3,684.3,688.5,0.0,0.61377,0.61377,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0,0,0,0.0,None
TLV:AMOT,AMOT INVESTMENTS,Real Estate,Israel,4086585.5768,230872081.22067,167261050.93933,57410350.936,27580028.55933,97420539.74933,144141216.07833,230872081.22067,167261050.93933,57410350.936,27580028.55933,97420539.74933,144141216.07833,6.09906,6.09906,8.70011,8.70011,8.70011,3.66453,8.70011,7.12916,0.4052,4.08835,5.625,1.191,2.5,2.74437,0.20999,0,0.762,2150,0.00035,0.42987,411960992,301984000,0.73304,93,4545528182,273108901119,3247139.78495,0.14,0.01826,-0.22039,0.01826,-0.22039,0.01826,0.0499,1.29951,0.01826,1.14128,1,1,144115417.66733,35511753.60867,31.54089,128.00067,79.77078,1.3078,1.35425,1.33103,1.1537,ILS,ILS,0.30749,0.30749,25.0,25.0,25.0,25.0,0.3871,1445,2335,1913.7361,12.34569,48.78893,-7.92291,1.58427,15.81156,1.76623,1.73882,0.05741,0.05174,0.02287,0.02565,0.50651,0.87217,1.76253,0.06458,0.03426,0.69934,1.23093,4198735668.81,4517853505.65667,4358294587.23333,0.04235,None
